Umlauf,window_start_min,window_end_min,window_start_hhmm,window_end_hhmm,duration_min
"OW01EC1","1050","1740","17:30","05:00","690"
"OW02EC1","930","1740","15:30","05:00","810"
"OW03EC1","1140","1800","19:00","06:00","660"
"OW04EC1","1110","1800","18:30","06:00","690"
"OW05EC1","1110","1800","18:30","06:00","690"
"OW06EC1","1050","1740","17:30","05:00","690"
"OW07EC1","510","690","08:30","11:30","180"
"OW07EC1","1140","1740","19:00","05:00","600"
"OW08EC1","540","630","09:00","10:30","90"
"OW08EC1","1110","1740","18:30","05:00","630"
"OW09EC1","480","510","08:00","08:30","30"
"OW09EC1","810","840","13:30","14:00","30"
"OW09EC1","990","1830","16:30","06:30","840"
"OW10EC1","630","780","10:30","13:00","150"
"OW10EC1","1260","1830","21:00","06:30","570"
"OW11EC1","870","960","14:30","16:00","90"
"OW11EC1","1110","1800","18:30","06:00","690"
"OW12EC1","480","600","08:00","10:00","120"
"OW12EC1","810","900","13:30","15:00","90"
"OW12EC1","1260","1740","21:00","05:00","480"
"OW13EC1","630","780","10:30","13:00","150"
"OW13EC1","1230","1740","20:30","05:00","510"
"OW14EC1","840","1020","14:00","17:00","180"
"OW14EC1","1260","1800","21:00","06:00","540"
"OW15EC1","480","1020","08:00","17:00","540"
"OW15EC1","1260","1800","21:00","06:00","540"
"OW16EC1","1110","1800","18:30","06:00","690"
"OW17EC1","1230","1860","20:30","07:00","630"
"OW18EC1","1080","1740","18:00","05:00","660"
"OW19EC1","1110","1860","18:30","07:00","750"
"OW20EC1","570","630","09:30","10:30","60"
"OW20EC1","840","1770","14:00","05:30","930"
"OW21EC1","1140","1800","19:00","06:00","660"
"OW23EC1","480","630","08:00","10:30","150"
"OW23EC1","810","870","13:30","14:30","60"
"OW23EC1","1140","1230","19:00","20:30","90"
"OW23EC1","1380","1830","23:00","06:30","450"
"OW24EC1","480","630","08:00","10:30","150"
"OW24EC1","870","930","14:30","15:30","60"
"OW24EC1","1230","1800","20:30","06:00","570"
"OW26EC1","690","900","11:30","15:00","210"
"OW26EC1","1080","1830","18:00","06:30","750"
"OW27EC1","480","540","08:00","09:00","60"
"OW27EC1","660","810","11:00","13:30","150"
"OW27EC1","1080","1800","18:00","06:00","720"
"OW28EC1","480","690","08:00","11:30","210"
"OW28EC1","990","1830","16:30","06:30","840"
"OW30EC1","480","630","08:00","10:30","150"
"OW30EC1","870","900","14:30","15:00","30"
"OW30EC1","1110","1800","18:30","06:00","690"
"OW31EC1","480","900","08:00","15:00","420"
"OW31EC1","1380","1830","23:00","06:30","450"
"OW32EC1","480","1770","08:00","05:30","1290"
"OW33EC1","480","1860","08:00","07:00","1380"
