Umlauf,Dienste,Linie,Fahrtnummer,Betriebstage,Planungsbedingung,Typ,Fahrtart,Fahrzeugtypgruppe,Fahrzeugtyp,Beschreibung,von,Startzeit,von (Beschreibung),nach,Endzeit,nach (Beschreibung),Dauer,Meter,_source_order,start_min,end_min,dur_min,vehicle_type,consumption_wh_per_m,battery_capacity_kwh,trip_energy_kwh,_vehicle_fallback,start_hhmm,end_hhmm
"OW01EC1","OW01EC1","","","Alle Mo-Fr","OSchule","E","","GB","NGB/LB12","","OWELS_E","05:13:00","VS Wels E","OWEBI_BP","05:25:00","Wels Billingerstraße BP","00:12:00","4700","0","313","325","12","NGB/LB12","1.2","400","5.64","false","05:13","05:25"
"OW01EC1","OW01EC1","700250","7002103","Alle Mo-Fr","OSchule","L","L","GB","NGB/LB12","","OWEBIL2","05:25:00","Wels Billingerstraße, Mast 2","OWEFLE2","05:54:00","Wels Flemingstraße, Mast 2","00:29:00","8400","1","325","354","29","NGB/LB12","1.2","400","10.08","false","05:25","05:54"
"OW01EC1","OW01EC1","","","Alle Mo-Fr","OSchule","P","","GB","NGB/LB12","","OWEBI_BP","05:25:00","Wels Billingerstraße BP","OWEBIL2","05:25:00","Wels Billingerstraße, Mast 2","00:00:00","0","2","325","325","0","NGB/LB12","1.2","400","0","false","05:25","05:25"
"OW01EC1","OW01EC1","","","Alle Mo-Fr","OSchule","P","","GB","NGB/LB12","","OWEFLE2","05:54:00","Wels Flemingstraße, Mast 2","OWEFS_BP","05:54:00","Wels Flemingstraße BP","00:00:00","0","3","354","354","0","NGB/LB12","1.2","400","0","false","05:54","05:54"
"OW01EC1","OW01EC1","700250","7002102","Alle Mo-Fr","OSchule","L","L","GB","NGB/LB12","","OWEFLE1","05:59:00","Wels Flemingstraße, Mast 1","OWENETI1","06:34:00","Wels Machstraße, Mast 1","00:35:00","7820","4","359","394","35","NGB/LB12","1.2","400","9.384","false","05:59","06:34"
"OW01EC1","OW01EC1","","","Alle Mo-Fr","OSchule","P","","GB","NGB/LB12","","OWEFS_BP","05:59:00","Wels Flemingstraße BP","OWEFLE1","05:59:00","Wels Flemingstraße, Mast 1","00:00:00","0","5","359","359","0","NGB/LB12","1.2","400","0","false","05:59","05:59"
"OW01EC1","OW01EC1","700250","7002115","Alle Mo-Fr","OSchule","L","L","GB","NGB/LB12","","OWENETI2","06:34:00","Wels Machstraße, Mast 2","OWEFLE2","07:02:00","Wels Flemingstraße, Mast 2","00:28:00","7030","6","394","422","28","NGB/LB12","1.2","400","8.436","false","06:34","07:02"
"OW01EC1","OW01EC1","","","Alle Mo-Fr","OSchule","P","","GB","NGB/LB12","","OWENETI1","06:34:00","Wels Machstraße, Mast 1","OWENE_BP","06:34:00","Wels Machstraße BP","00:00:00","0","7","394","394","0","NGB/LB12","1.2","400","0","false","06:34","06:34"
"OW01EC1","OW01EC1","","","Alle Mo-Fr","OSchule","P","","GB","NGB/LB12","","OWENE_BP","06:34:00","Wels Machstraße BP","OWENETI2","06:34:00","Wels Machstraße, Mast 2","00:00:00","0","8","394","394","0","NGB/LB12","1.2","400","0","false","06:34","06:34"
"OW01EC1","OW01EC1","","","Alle Mo-Fr","OSchule","P","","GB","NGB/LB12","","OWEFLE2","07:02:00","Wels Flemingstraße, Mast 2","OWEFS_BP","07:02:00","Wels Flemingstraße BP","00:00:00","0","9","422","422","0","NGB/LB12","1.2","400","0","false","07:02","07:02"
"OW01EC1","OW01EC1","700250","7002114","Alle Mo-Fr","OSchule","L","L","GB","NGB/LB12","","OWEFLE1","07:04:00","Wels Flemingstraße, Mast 1","OWENETI1","07:39:00","Wels Machstraße, Mast 1","00:35:00","7820","10","424","459","35","NGB/LB12","1.2","400","9.384","false","07:04","07:39"
"OW01EC1","OW01EC1","","","Alle Mo-Fr","OSchule","P","","GB","NGB/LB12","","OWEFS_BP","07:04:00","Wels Flemingstraße BP","OWEFLE1","07:04:00","Wels Flemingstraße, Mast 1","00:00:00","0","11","424","424","0","NGB/LB12","1.2","400","0","false","07:04","07:04"
