Period_Index,Price_EUR_MWh,Optimized_Grid_Load_kW,Market_Price_EUR_MWh,Baseline_Load_kW,Net_Grid_Import_kW,PV_Generation_kW,BESS_SoC_kWh,Ambient_Temp_C,BESS_Cell_Temp_C
1,38.92,0,38.92,900,0,0,90,13,14.7
2,38.92,0,38.92,900,0,0,90,12.875,14.7
3,38.92,0,38.92,900,0,0,90,12.75,14.698
4,38.92,0,38.92,800,0,0,90,12.625,14.694
5,32.63,900,32.63,900,900,0,90,12.5,14.689
6,32.63,900,32.63,900,900,0,90,12.4,14.682
7,32.63,900,32.63,900,900,0,90,12.3,14.674
8,32.63,900,32.63,900,900,0,90,12.2,14.666
9,34.33,0,34.33,900,0,0,90,12.1,14.658
10,34.33,0,34.33,900,0,0,90,12.075,14.649
11,34.33,0,34.33,900,0,0,90,12.05,14.639
12,34.33,0,34.33,900,0,0,90,12.025,14.627
13,33.52,900,33.52,900,900,0,90,12,14.613
14,33.52,310.6,33.52,900,310.5704,0,90,11.85,14.598
15,33.52,586.2,33.52,900,586.2418,0,90,11.7,14.583
16,33.52,150,33.52,900,150,0,90,11.55,14.569
17,37.91,0,37.91,900,0,0,90,11.4,14.555
18,37.91,0,37.91,850,0,0,90,11.4,14.541
19,37.91,0,37.91,616.7,0,0,90,11.4,14.528
20,37.91,0,37.91,333.3,0,0,90,11.4,14.515
21,51.04,0,51.04,0,0,0,90,11.4,14.502
22,51.04,2.7,51.04,0,0,2.7086,90,11.3,14.489
23,51.04,5.4,51.04,0,0,5.4171,90,11.2,14.477
24,51.04,8.1,51.04,0,0,8.1257,90,11.1,14.466
25,53.18,10.8,53.18,0,0,10.8342,90,11,14.454
26,53.18,25.6,53.18,0,0,25.5959,90,11.2,14.443
27,53.18,40.4,53.18,0,0,40.3575,90,11.4,14.433
28,53.18,55.1,53.18,0,0,55.1192,90,11.600000000000001,14.423
29,31.81,0,31.81,0,0,69.8808,90,11.8,14.415
30,31.81,0,31.81,0,0,91.143,90,12.100000000000001,14.407
31,31.81,0,31.81,0,0,112.4052,90,12.4,14.399
32,31.81,0,31.81,0,0,133.6674,90,12.7,14.392
33,0.34,0,0.34,900,0,154.9296,90,13,14.385
34,0.34,0,0.34,595.7,0,177.9523,90,13.25,14.378
35,0.34,0,0.34,490.4,0,200.9751,90,13.5,14.371
36,0.34,0,0.34,249.8,0,223.9978,90,13.75,14.366
37,-4,412,-4,150,900,247.0206,90,14,14.361
38,-4,532.8,-4,28.6,900,268.8245,205.9063,14.25,20.457
39,-4,482.4,-4,150,900,290.6284,293.1112,14.5,24.895
40,-4,400,-4,150,900,312.4323,392.3026,14.75,29.855
41,-1.96,750,-1.96,150,250,334.2362,511.0526,15,35.724
42,-1.96,700.4,-1.96,72.9,200.3572,352.3835,379.4737,15.275,41.45
43,-1.96,300,-1.96,300,0,370.5309,247.8947,15.55,47.03
44,-1.96,300,-1.96,178.6,0,388.6782,168.9474,15.825000000000001,49.968
45,-8.09,400,-8.09,300,900,406.8256,90,16.1,52.83
46,-8.09,600,-8.09,132.3,197.5,419.0141,208.75,16.35,58.116
47,-8.09,400,-8.09,150,900,431.2026,102.829,16.6,62.051
48,-8.09,965.6,-8.09,150,465.6396,443.3911,221.5789,16.85,67.104
49,-14.32,400,-14.32,69,900,455.5796,90,17.1,72.031
50,-14.32,1200,-14.32,0,900,459.6425,208.75,17.3,76.833
51,-14.32,400,-14.32,0,900,463.7053,129.8026,17.5,79.021
52,-14.32,400,-14.32,0,900,467.7681,248.5526,17.7,83.66
53,-19.33,400,-19.33,0,900,471.831,367.3026,17.9,88.188
54,-19.33,400,-19.33,0,900,472.5081,486.0526,18.049999999999997,92.609
55,-19.33,486,-19.33,450,900,473.1853,604.8026,18.2,96.915
56,-19.33,450,-19.33,236.4,900,473.8624,703.125,18.35,100.034
57,-9.7,1174.7,-9.7,300,900,474.5395,810,18.5,103.521
58,-9.7,1108.3,-9.7,300,900,453.0065,737.7073,18.8,104.724
59,-9.7,1200,-9.7,750,900,431.4735,682.8947,19.1,105.068
60,-9.7,1200,-9.7,612.8,900,409.9404,603.9474,19.4,106.548
61,-9.3,600,-9.3,355.5,900,388.4074,525,19.7,107.992
62,-9.3,600,-9.3,265.2,900,388.8137,596.25,19.625,109.399
63,-9.3,600,-9.3,300,900,389.2199,667.5,19.549999999999997,110.769
64,-9.3,600,-9.3,296.9,900,389.6262,738.75,19.474999999999998,112.104
65,4,150,4,150,0,390.0325,810,19.4,113.404
66,4,150,4,150,0,375.4063,810,19.4,110.92
67,4,150,4,450,0,360.7801,810,19.4,108.498
68,4,150,4,450,0,346.1538,810,19.4,106.137
69,2.48,150,2.48,268.5,0,331.5276,810,19.4,103.834
70,2.48,150,2.48,0,0,311.078,810,19.45,101.589
71,2.48,300,2.48,300,9.3716,290.6284,810,19.5,99.398
72,2.48,300,2.48,300,29.8212,270.1788,810,19.55,97.26
73,62.41,418.5,62.41,750,0,249.7291,810,19.6,95.173
74,62.41,324.2,62.41,625.1,0,228.8732,765.5816,19.5,95.247
75,62.41,600,62.41,900,0,208.0173,740.5085,19.4,94.396
76,62.41,474.3,62.41,900,0,187.1614,637.3551,19.3,97.271
77,100.1,621.9,100.1,900,0,166.3055,561.7843,19.2,98.762
78,100.1,644.9,100.1,900,0,144.9079,441.8904,18.825,102.317
79,100.1,421,100.1,900,0,123.5103,310.3114,18.45,106.337
80,100.1,150,100.1,900,0,102.1127,232.0212,18.075,107.724
81,108.95,80.7,108.95,900,0,80.7151,219.4192,17.7,105.954
82,108.95,64.9,108.95,900,0,64.87,219.4192,17.125,103.627
83,108.95,150,108.95,900,0,49.0249,219.4192,16.55,101.356
84,108.95,150,108.95,900,0,33.1798,192.8468,15.975,100.401
85,135,150,135,900,0,17.3348,162.1047,15.4,99.665
86,135,13,135,900,0,13.0011,127.1928,15.075,99.144
